5,tournament_2,0.8,0.3,0.4,elite_2,0.9247472527472528,0.8681318681318682,0.978021978021978,0.022200925650930688,breast_cancer
5,tournament_2,0.8,0.3,0.0,elite_2,0.7310912085738159,0.4834710743801653,0.8420569329660239,0.07793816573919948,dry_bean
5,tournament_2,0.8,0.3,0.0,elite_2,0.5662521008403361,0.3235294117647059,0.8529411764705882,0.10463267489636281,glass
5,tournament_2,0.8,0.3,0.4,elite_2,0.7210741703296263,0.6970271979759646,0.7443037974683544,0.009699325633175474,lol
5,tournament_2,0.4,0.0,0.4,elite_2,0.8843940886699508,0.6206896551724138,1.0,0.06414646224465859,wine
5,1,False,False,0.0,True,0.9472527472527471,0.912087912087912,0.978021978021978,0.027383763016022914,id3_breast_cancer
20,10,True,True,0.0,True,0.9045187786327804,0.8920532843362425,0.9177767570050528,0.004789003244753255,id3_dry_bean
20,1,False,False,0.0,True,0.6435294117647059,0.6,0.6764705882352942,0.03093764815634375,id3_glass
5,10,False,True,0.0,True,0.7228916164260722,0.7147375079063883,0.7386075949367089,0.009042910567859106,id3_lol
5,1,True,False,0.0,True,0.8955960591133005,0.6551724137931034,1.0,0.05532105206343126,id3_wine
